front,back,frequency,
팬,fan (a person),1597,
고백하다,"to confess, admit",1608,
옥수수,corn,2306,
각종,"every kind, various kinds",1650,
돌리다,"to turn, spin",1595,
실력,"skill, ability",1609,
모기,mosquito,1381,
낳다,to give birth,1393,
전자의,electronic,1614,
치과,dentist,1621,
관광,tourism,1617,
늘다,"to increase, grow, rise",1588,
과정,"process, course",1641,
동물원,zoo,1600,
차다,"to kick;to be cold, chilly;to be full (of)",1498,
땅,the ground;land,1610,
예정,schedule,1686,
상관없다,"to not matter, not care;to have nothing to do with",1615,
자격,qualification,1943,
신촌,Sinchon,1616,
사오다,to buy something and bring it,1215,
일부러,"intentionally, on purpose",2267,
전철,subway (train),2309,
마치다,"to finish, complete",1440,
호,a number (count.);issue;arc,1620,
행사,event,1694,
감동하다,"to be moved, touched (emotionally)",1622,
큰일,serious matter,1652,
상태,"condition, state",1587,
잇다,"to connect, join",1708,
검정,black,1631,
왠지,"somehow, for some reason",1619,
기온,temperature,1626,
모이다,"to come together, assemble, gather",1317,
정부,government,1800,
햇살,"sunlight, sunshine",1671,
녹음하다,to record (sound etc.),1756,
연휴,"long holiday, consecutive holidays",1664,
과제,"task, assignment",1611,
우회전하다,to turn right,1642,
경쟁,competition,1917,
흙,"earth, soil, dirt",1656,
깨다,to break;to wake (up),1645,
금속,metal,2486,
일기,"diary, journal",1601,
나서다,"to leave, set out;to come forward;to meddle",1382,
계약,contract,2040,
빛,"light, ray, glow",1640,
대학원,graduate school,1647,
발견하다,"to discover, find",1668,
뒷문,back door,1867,
공기,air,1657,
누르다,"to press down, push down, to suppress",1655,
정거장,"station, stop",2607,
특징,"distinguishing mark, characteristic",1730,
돌려주다,"to give back, return something",1665,
오히려,"rather, preferably",1644,
연예,entertainment,4464,
삶,life,1680,
합격하다,to pass an exam,1661,
동시에,at the same time,1660,
속옷,underwear,1649,
현실,"actuality, reality",1774,
완전하다,"to be perfect, complete",1632,
미역국,seaweed soup,1604,
답,answer,1364,
내밀다,"to stick out, extend",1729,
발표,"announcement, presentation",1613,
꽃집,flower shop,1662,
마련하다,"to prepare, arrange",1698,
기본,"basis, foundation, basics",1669,
쌍둥이,twins,2556,
흔들다,"to shake, wave, swing",1612,
감정,"feeling, emotion;grudge, animosity;appraisal, valuation",1699,
음악가,musician,2436,
취하다,"to get drunk, be drunk;to choose, pick, take",1732,
그룹,group,1654,
대중,the (general) public,1681,
고생하다,"to suffer, have a hard time, have trouble",1491,
기초,"foundation, basis, base",1874,
혀,tongue,1674,
떨다,"to tremble, shake, vibrate",1725,
전통,tradition,1673,
이미지,image,1690,
상자,box,1667,
신청하다,"to apply for, request",1682,
금발,golden hair,3218,
안주,appetizers served with drinks,1676,
가만히,"still, motionlessly",1707,
깜빡하다,"to forget, slip one's mind",1715,
막,"just, just now;severely, carelessly;curtain",1693,
전기,electricity;biography,1717,
하양,"white, whiteness",1691,
물다,to bite;to pay (for),1678,
위치,"position, location, site",1709,
마침내,"finally, eventually, at last",1747,
기르다,"to raise, look after;to grow",1712,
버릇,habit;manners,1696,
태양,sun,1895,
학습,"studying, learning",1887,
답답하다,to feel frustrated;to be stuffy,1651,
검,sword,4034,
새로,newly,1637,
의심,"doubt, suspicion",3113,
줄이다,"to reduce, decrease",1702,
덕분에,thanks to,1684,
장점,"advantage, strength, strong point",1714,
여우,fox,1703,
부족하다,"to lack, be lacking, not good enough",1675,
욕조,bathtub,2275,
짜증,"irritation, annoyance",1704,
달라지다,"to change, alter, vary",1549,
회장,"president, chairman;hall, venue",1746,
모임,"meeting, gathering",1634,
인삼,ginseng,1723,
기대하다,"to expect, look forward",1685,
웃음,"laughter, smile",1569,
성인,"adult, grown-up",1706,
각각,"each, every",1687,
보호하다,to protect,1722,
터,"site, ground",2472,
주먹,fist,2509,
그치다,"to stop (doing), cease",1638,
신사,gentleman,2291,
때때로,occasionally,1727,
수저,spoon and chopsticks (traditional Korean utensils),1731,
훌륭하다,"to be excellent, great, superb, fine",1735,
드레스,dress,1716,
산업,industry,1828,
낡다,"to be old, worn",1718,
큰형,boy's eldest brother,1721,
도둑,thief,1736,
못생기다,"to be ugly, unattractive",1040,
회식,dining together (among colleagues),1728,
코피,nosebleed,1538,
시도하다,"to try, attempt",2164,
이상형,ideal type,2286,
실내,indoors,1734,
막다,"to block, close",1552,
매년,every year,1740,
남방,shirt;south,4010,
알아듣다,"to understand, catch, see",1745,
풀,grass;glue,1737,
수입,income;import,1790,
푸르다,"to be blue, green",1742,
목장,"farm, ranch",3642,
죽음,death,1812,
엊그제,a couple of days ago,2396,
오래되다,to be old (for an object),1247,
하숙집,boarding house,1697,
무,radish,1750,
노약자,old and/or weak people,1767,
완벽하다,"to be perfect, flawless",1749,
명령,"order, command",1757,
신호등,traffic light,1758,
키우다,"to raise, bring up, breed",1769,
흔히,"commonly, frequently, generally",1865,
티셔츠,T-shirt,1744,
느껴지다,"to feel (as if);to be impressed, be moved",1759,
주요,"major, main, primary",1835,
및,"and, as well as",1458,
내놓다,"to put out, take out;to show, present",1752,
목표,"target, goal",1831,
노인,old people,1822,
변호사,lawyer,1778,
칭찬하다,"to praise, compliment",2580,
욕심,greed,1768,
즉시,"at once, immediately, without delay",1777,
썰다,"to cut (up), chop, slice",1799,
음료수,"beverage, drink",1781,
소포,"parcel, package",1584,
평화,peace,1897,
개다,to fold up;to clear up,2617,
어젯밤,last night,1290,
비용,"expense, cost",1787,
서두르다,"to hurry up, hasten",1545,
평생,"lifetime, one's entire life",1763,
명절,(national) holiday,2213,
이르다,"to arrive, reach;to be early, premature;to tell, say",1464,
오른손,right hand,1784,
상추,lettuce,2263,
늙다,"to grow old, be old",1949,
전문가,"expert, specialist",1761,
기준,"standard, criteria",1783,
이불,"comforter, bedding",1785,
늘어나다,to grow longer;to increase,1766,
고구마,sweet potato,1794,
형태,form (more abstract),1963,
방문하다,to visit,1762,
단점,"weakness, flaw, shortcoming",1795,
무역,"trade, commerce",1881,
그립다,"to be missed, be beloved;to miss, long for",2400,
마음대로,"as one pleases, at one's convenience",1791,
장남,eldest son,3267,
살려주다,"to save, rescue, spare",1819,
명함,business card,3628,
세금,tax,2233,
판단하다,"to judge, decide, make a judgement",1866,
신체,body,1805,
박수,"handclapping, applause",2409,
익숙해지다,to get used to,1802,
충격,shock,2037,
강남,Gangnam,1793,
위로하다,"to console, comfort",2359,
제공,offer,1961,
하늘색,sky blue,1804,
들르다,to stop by,1796,
기념,commemoration,2437,
스케이트,skates,1798,
과음하다,to drink too much,4696,
수술,"operation, surgery",2099,
잡채,noodles with sauteed vegetables,2050,
볶다,"to fry, roast",1813,
배경,"background, setting",2085,
한강,Han River,1814,
구입하다,to purchase,3123,
편도,one-way trip,3177,
여행사,travel agency,1627,
충분하다,"to be enough, be sufficient",1843,
무용,dance,2054,
낙엽,fallen leaves,3487,
쳐다보다,"to look (at), stare (at)",1829,
연기,"acting, performance;smoke",1817,
손잡이,"handle, knob",2588,
넘어지다,to fall (down),1088,
나비,butterfly,2459,
콘서트,concert,1837,
무시하다,"to ignore, disregard",1922,
기관,"engine;institute, school;organ",1820,
선풍기,electric fan,3631,
옳다,"to be right, correct, proper",1996,
잔치,"party, feast",2335,
물음,question,1683,
통하다,"to go through, flow;to be circulated;to be understood",1836,
영화관,movie theater,1857,
자막,subtitles;caption,2294,
달려오다,to come running,1839,
드라이어,dryer,4612,
각자,"each one, each",1885,
다가오다,"to approach, come near",1658,
글씨,"letter, character (handwritten)",1840,
온도,temperature,1838,
손바닥,palm of the hand,1841,
향하다,"to face, look out at;to proceed to, lean towards",1912,
방식,"method, manner, way",1975,
가짜,"imitation, fake",1858,
속하다,to belong to,1826,
월말,end of the month,4915,
식후,after a meal,4141,
입장하다,"to enter, get into, obtain admission",1849,
영향,"influence, effect",2133,
주머니,"pocket, bag",1821,
장난치다,"to joke, kid, frisk, get funny (with)",4209,
거미,spider,1955,
개인적,"personal, individual",1851,
심하다,"to be heavy, severe, harsh",1484,
금연,"smoking prohibited, no smoking",1847,
주인공,"protagonist, main character",1954,
기도하다,to pray;to attempt,2672,
나머지,"the rest, the remainder",1878,
주위,"the circumference, perimeter;surroundings",1810,
살피다,to look over carefully,2404,
적극적,"positive, active",1904,
눈치,reading (sensing) the atmosphere or people's faces,1854,
개발하다,"to develop, improve",1879,
젊은이,"the youth, young person",1808,
점차,"gradually, little by little",1824,
끄덕이다,to nod,1902,
길이,length,1281,
천둥,thunder,3727,
높이다,"to raise, make higher",1862,
형님,a man's older brother (hon.),1834,
사물,"objects, things, matters",1861,
독서하다,to read books,2310,
곰,bear,1832,
신부,bride;Catholic priest,2008,
쪽팔리다,to be embarrassing,3062,
찬물,cold water,1850,
일반적,"general, usual",1844,
놓이다,to be put;to feel relieved,1882,
밤색,"brown,&nbsp;chestnut",1880,
감히,"boldly, daringly",2283,
발생하다,"to occur, arise, happen",1816,
에너지,energy,1950,
새끼,young animal;fellow,1888,
괴롭다,"to be painful, distressing",2388,
소문,"rumor, gossip",1871,
이리,"wolf;here, this way",2003,
참석하다,"to attend, be present",1916,
걸음,step,1748,
방송국,broadcasting station,1930,
가늘다,"to be thin, slender",1896,
똑바로,"straight, directly;honestly, frankly",1875,
통장,bankbook,2456,
화내다,"to get angry, vent one's anger",1889,
서양,the West,1890,
콩,bean,1775,
안전하다,"to be safe, secure",1886,
시인,poet,2020,
단계,"stage, phase, step",1967,
가리다,"to cover, hide, shield;to distinguish, differentiate",2049,
할인,discount,1891,
고추,chili pepper,1945,
심다,to plant,1906,
계산기,calculator,1873,
전기밥솥,electric rice cooker,1938,
지치다,"to be exhausted, worn out",2144,
글자,"letter, character",1830,
마침,"coincidently, just",2079,
교사,"instructor, teacher",1903,
뻔뻔하다,"to be shameless, brazen",2696,
이전,"the previous, before, formerly;relocation, move",1624,
몸살,body ache,3881,
찾아보다,"to look for, search",1853,
종교,religion,1958,
진지,"meal (hon.);position, stronghold",3393,
서운하다,"to be sad, hurt;to be regrettable",3444,
예절,"manners, etiquette",1940,
밤새도록,all night long,1914,
통화하다,to talk over the telephone,1892,
뱀,snake,3416,
교육,education,1567,
견디다,"to bear, endure, tolerate",1919,
혼자서,"by oneself, to oneself, in solitude",1207,
연애,"dating;love, romance",1901,
뿌리다,"to sprinkle, spray, scatter",2229,
연두색,light green,1924,
전화번호,phone number,1503,
외교,diplomacy,2338,
알맞다,"to be fitting, suitable, appropriate",1926,
만남,meeting,1905,
문서,"document, papers",3274,
붙이다,"to stick, attach",1628,
금,gold;line,2274,
한참,for some time,1855,
가리키다,to point to,1966,
저리,"that way, that direction;low interest (rate)",2367,
추억,"recollection, remembrance",1915,
안타깝다,"to be heart-breaking, frustrating, regrettable",1942,
부장,head of department,1923,
양식,"style, pattern;Western-style food;good sense;culture, farming (of fish)",2650,
어둠,darkness,1908,
진하다,"to be dark;to be thick, strong, rich",2200,
박사,"doctor, expert",1920,
후추,black pepper,1898,
혼나다,"to be scolded, have a hard time",3158,
껌,chewing gum,2328,
팝송,pop song,3989,
단지,"simply, merely, just;apartment complex",2066,
가득하다,to be filled (with),1992,
형용사,adjective,1934,
부자,rich person;father and son,1951,
모시다,"to accompany, take;to treat;to serve (hon.)",1939,
낮잠,nap,2766,
토끼,rabbit,1928,
발달하다,to develop,1952,
직원,"employee, staff member",1770,
매력적,"attractive, charming",1918,
수많다,"to be numerous, a lot of",1909,
깜짝,startling,1921,
마늘,garlic,1807,
연하다,"to be soft, light, tender",2535,
너희,you (plural),1911,
고속버스,express bus,2452,
끼다,"to be caught (in), be involved;to wear;to cloud over, be foggy",1792,
우연히,"by chance, accidentally",1964,
손수건,handkerchief,3359,
늘리다,"to increase, add;to extend",1979,
목욕탕,"bathroom, bath house",1259,
그리,"so, very;there, that way",1765,
뽑다,"to pick, draw, pull out",1962,
체육,physical education,1907,
곡,"tune, music, song",3059,
불리다,"to be called, be invited;to enrich oneself",1833,
교포,ethnic Korean living abroad,2261,
도시락,(packed) lunch,2014,
싸움하다,"to fight, quarrel",1695,
오징어,"squid, cuttlefish",1977,
수도,capital city;water supply (service),2059,
퇴원하다,to be discharged from the hospital,2465,
주민,"resident, inhabitant",1933,
몇몇,"some, several",1931,
순수하다,"to be pure, genuine",2052,
명동,Myeong Dong,1935,
논문,"thesis, research paper",2028,
양,"quantity, amount;sheep, lamb",1925,
차리다,"to set, prepare;to pull oneself together",1999,
식물,"plant, vegetation",2056,
맨날,"always, every day (less formal)",1825,
이익,"profit, gain, advantage",1937,
잡히다,"to be caught, be grabbed",1672,
어려움,"difficulty, hardship",1788,
온,"all, entire, whole",1941,
바르다,"to apply, put on",1989,
오랫동안,for a long time,1354,
농촌,farm village,2645,
잘되다,"to be going well, come out well",1582,
전부,"all, entire, total",1990,
한쪽,"one side, one way",1454,
용서하다,to forgive,2325,
검사,"prosecutor, district attorney;examination, inspection, check",1947,
그만큼,"that much, to that extent",1860,
후회하다,to regret,2068,
치료,"treatment, cure",1927,
찻잔,teacup,2750,
쥐다,"to grip, clench, grasp",2012,
고모부,father's sister's husband,2585,
정상,"normality;top, summit",2372,
벌어지다,"to get wider;to happen, break out",2002,
막차,the last train/bus,2619,
욕,"swear word, insult, abuse",2419,
포함하다,"to include, contain",1959,
노동,labor,2118,
가치,"value, worth",2010,
커지다,"to grow big, expand;to become serious",1739,
시리즈,series,2234,
분석,analysis,2916,
날아가다,to fly away,2016,
얼다,"to freeze, be frozen",2276,
폭,"width, range;deeply, completely",1971,
서류,"documents, papers",2181,
울리다,to ring;to make someone cry,1969,
부동산,"real estate, property",2240,
수필,essay,2909,
속이다,"to deceive, cheat, trick",2493,
주유소,gas station,2122,
최선,the best,1953,
의지하다,"to rely, depend, lean on",2821,
조상,"ancestor, forefather",2061,
곁,"side, beside",1960,
불가능하다,to be impossible,1972,
선반,shelf,1957,
세월,(long period of) time,3232,
비우다,"to empty, vacate",2561,
승무원,"crewman, stewardess",2231,
대체,"(why) on earth, (what) the hell;substitution",2786,
입학하다,"to enter a school, be admitted into a school",1982,
꼬리,tail,2311,
밭,"field, farm",2013,
꾸다,to dream;to borrow,2373,
퇴근시간,closing time,2317,
자세,"posture, position",2146,
담기다,"to be put in, be included",2019,
상대방,"the other party, the opposing team, adversary",1944,
기능,function;skill,1985,
줍다,"to pick up, gather up",2111,
강물,river water,2315,
문제점,"problem, drawback, the point in question",2007,
동의하다,to agree,2307,
샴푸,shampoo,2025,
정장,"formal wear (outfit, dress, suit)",1755,
꾸미다,"to decorate, make up;to invent, prepare",1932,
깊이,depth;deeply,1497,
성공,success,2116,
마주보다,to look at each other,2121,
일식,Japanese-style food;solar eclipse,2109,
겨우,barely,1900,
젓다,"to stir, whip;to row;to gesticulate",2058,
비교적,"relatively, comparatively",2075,
예술가,artist,1864,
이루다,"to achieve, accomplish;to make, form",1856,
농사,farming,1965,
몹시,"extremely, awfully, very",2350,
신선하다,to be fresh,2036,
최초,the very first,2017,
시선,one's eyes,2765,
상하다,"to go bad, spoil;to be hurt",2080,
즉,"namely, so to speak",1630,
과학자,scientist,2098,
씹다,to chew,2289,
한두,one or two,1991,
파리,fly;Paris,2000,
허락하다,"to allow, permit",2344,
질투,jealousy,2296,
볼,cheek;ball,2488,
연기하다,"to delay, postpone, put off;to act",2127,
구멍,hole,2015,
서비스,service,2011,
그만두다,"to quit (work, school, etc.);to give up (drinking etc.)",1976,
왼손,left hand,1948,
이리저리,"here and there, this way and that",3148,
숨기다,"to hide, conceal",2340,
햇볕,"sunbeam, sunlight",3868,
총,"gun;total, overall",2674,
기록하다,"to record, write down;to register",1872,
회원,"member, membership",1848,
춘천,Chuncheon,2179,
신고하다,"to report, declare, notify",2413,
영원히,"forever, eternally",2172,
검색,search,2086,
활용하다,"to utilize, put to practical use",2114,
세탁소,"laundry, dry cleaner's",2082,
밀가루,flour,2402,
반복하다,to repeat,2262,
송이,"counter for clusters of grapes, bunches of flowers and similar",2171,
집안,"home, family, household",2415,
환전하다,to exchange money,2503,
청소년,"teenager, youth, adolescent",2078,
미역,"seaweed, sea mustard",2797,
가꾸다,"to grow, cultivate;to take care of",2180,
의학,"medicine, medical science",2048,
우주,universe,2278,
피다,"to bloom, blossom;to burn",1986,
함부로,"thoughtlessly, carelessly",2192,
교문,school gate,3204,
싣다,to load (up),2042,
생년월일,date of birth,2092,
감옥,jail,2756,
표시하다,"to mark, indicate;to express, show",2209,
중요성,"importance, significance",2155,
차비,transportation fare,2844,
금지하다,"to prohibit, ban",2137,
절,"Buddhist temple;deep bow;clause, verse",2102,
제법,"pretty, fairly, quite",2901,
살펴보다,"to look around, watch for",1379,
온돌방,room with the Korean floor heating system,2047,
번개,lightning,3321,
일정하다,"to be fixed, constant, regular",2940,
안내,"guide, information leaflet",2120,
마치,"as though, as if",1797,
헷갈리다,"to be confused, confusing;to be hard to find",3060,
선글라스,sunglasses,2119,
거품,"bubble, foam",3327,
채우다,"to fill up;to lock, fasten",2032,
식빵,bread,2885,
통일,"unity, unification",1913,
교환하다,"to exchange, trade",2154,
오리,duck,2225,
이동,"movement, transfer",2474,
너무하다,"to be unreasonable, too much",2009,
손자,grandson,2057,
친척,relatives,1842,
연결하다,"to connect, link, attach",2087,
페이지,page,2038,
된장,soy bean paste,2030,
신랑,groom,2362,
속상하다,"to be upset, distressed;to be upsetting, distressing",2022,
대표적,"representative, typical",2053,
후배,one's junior (at school or workplace),2018,
감상하다,"to enjoy, appreciate",2453,
누구나,anyone,1987,
복도,hallway,2035,
정하다,"to decide, determine, choose",1846,
성냥,matches,3536,
기타,guitar;etc.,2581,
실망하다,to be disappointed,2368,
불교,Buddhism,1666,
집사람,wife,2195,
잦다,to be frequent,3798,
날개,wings,2130,
오페라,opera,2067,
불완전하다,"to be incomplete, imperfect",2287,
미술,art,2083,
김,dried seaweed;steam,2721,
편찮다,"to be unwell, sick",4107,
심부름,errand,3371,
복수,revenge;plural,2758,
비하다,to compare to,2055,
땅콩,peanut,2375,
한발,one step,3120,
부치다,"to mail, ship;to fry",1518,
공중전화,public phone,2024,
손녀,granddaughter,2123,
선선하다,"to be cool, refreshing",3007,
캠퍼스,campus,2088,
학위,academic degree,2451,
얇다,"to be thin, flimsy",2140,
소,cow,2188,
노랑,yellow,2141,
생겨나다,"to come into existence, occur",2206,
만일,"in case, by any chance, suppose",1998,
종합,"synthesis, putting together",2169,
응원하다,"to cheer, support",2798,
사회적,social,2001,
빌딩,building,1815,
틀림없다,"to be certain, beyond a doubt;to be trustworthy",2101,
스스로,oneself,1537,
왼편,the left side,2093,
달려가다,"to run, dash, rush",1635,
고속도로,"expressway, highway",2004,
관객,"audience, spectator",2063,
우울하다,"to be gloomy, cheerless, depressed",2272,
농업,agriculture,1910,
블라우스,blouse,2145,
맡기다,"to leave something with someone,to entrust, deposit",2065,
눈병,eye disease,3265,
속도,"speed, pace",1995,
놀랍다,"to be surprising, startling;to be wonderful, marvelous",2090,
냄비,"pot, saucepan",2105,
프로,professional,1863,
예매하다,"to book, reserve, buy in advance;to sell tickets in advance",1779,
딴,"other, different",2126,
유난히,"unusually, exceptionally",2318,
화려하다,"to be splendid, flashy",1946,
귀고리,earring,3634,
시청자,"viewer, TV audience",2301,
적당하다,"to be appropriate, suitable, moderate, proper",2547,
그늘,shade,2096,
사은품,free gift,2308,
다리다,"to iron, press",2190,
종,"species;bell;slave, servant",2148,
최소한,at the (very) least,2142,
장보다,"to go to market, go grocery shopping",1648,
요청,"request, demand",2128,
예식장,"ceremony hall, wedding hall",3128,
차지하다,"to take possession, occupy",2810,
흥미,interest,2143,
입구,"entrance, gateway",2112,
살리다,"to save one's life, spare;to make good use",1776,
트럭,truck,2346,
개성,"personality, individuality",3434,
숨쉬다,to breathe,2134,
지하도,underpass,2106,
원인,"cause, factor",2073,
이루어지다,"to come true;to be formed, consist (of)",2062,
청소기,vacuum cleaner,2139,
지식,"knowledge, understanding",2562,
굵다,to be thick,2006,
도표,"diagram, chart",3507,
간절히,"earnestly, eagerly, sincerely",3943,
깨닫다,"to realize, recognize",2712,
해수욕장,swimming beach,3031,
인구,population,2089,
흘리다,"to spill, shed (tears, blood etc.)",1899,
커튼,curtain,2387,
가로등,"street lamp, street light",3468,
붓다,to pour (into);to become swollen,1806,
음식점,restaurant,1818,
대박,jackpot;something great,2138,
전학가다,to change schools,2216,
법원,court (of law),3456,
뿌리,root,2081,
배탈나다,to have a stomachache,2157,
이천,Icheon,3549,
매표소,ticket booth,2313,
구조하다,"to save, rescue",3152,
병실,"hospital room, ward",3932,
눈썹,eyebrow,2125,
노크하다,to knock,2364,
실제로,"in fact, actually",2332,
낚시,fishing,2113,
건지다,to take out of water;to take back,2269,
플랫폼,platform,2936,
다방,"tea room, coffee house",2374,
끓다,"to boil, simmer",2026,
품목,"item, goods",3076,
골목,alley,2320,
챙기다,"to gather, pack, put things in order;to take care of",2071,
매달,every month,2136,
독감,flu,2245,
붙다,"to stick to, adhere to",1823,
시어머니,mother-in-law (of a woman),2168,
핑크,pink,2185,
당하다,"to experience, encounter, suffer",2197,
운전사,"driver, chauffeur",2574,
고급,high rank,2103,
풀리다,"to get solved, get loose, be relieved",2117,
동아리,"club, society, group",2021,
학자,scholar,2594,
커다랗다,"to be very big, huge",2077,
연락처,contact information,2327,
책꽂이,bookshelf,2448,
쏟다,"to spill, pour",2201,
바닷물,seawater,2707,
약도,"rough map, sketch map",3930,
매다,"to tie, bind",2259,
뮤지컬,musical,3735,
게으르다,"to be idle, lazy",3216,
진찰,medical examination,2968,
배드민턴,badminton,2214,
건너가다,"to cross, go across",2371,
옛날얘기,"folk tale, legend",3109,
그제,day before yesterday,3153,
삼다,"to adopt, use a thing as",2249,
머리카락,hair,2162,
부사,adverb,2163,
드물다,to be rare,2285,
깨끗이,"cleanly, neatly",1724,
유치원,kindergarten,1590,
떨리다,"to tremble, shake, shiver",2381,
동남아시아,Southeast Asia,2270,
액자,picture frame,2700,
서투르다,"to be unfamiliar (with), unskilled, poor (at)",3569,
동양,the East,2395,
미용실,"beauty salon, hairdresser's",2210,
밟다,to step on;to trail after,2094,
요금,"charge, fee",1594,
소방서,fire station,3732,
놀리다,"to tease, kid, make fun of;to leave something idle, unused",3150,
돌,"stone, rock;first birthday",2027,
서랍,drawer,1418,
없애다,"to remove, get rid of;to waste",2084,
맞선,"marriage meeting, blind date",2767,
사모님,"one's teacher's wife,one's superior's wife",2248,
벌주다,to punish,2390,
점수,"score, mark, grade",2343,
엄청,"very, very much",1980,
문병가다,to visit a sick person,3238,
런던,London,2165,
집들이,housewarming party,2337,
털다,"to dust off, brush off;to rob",2295,
분실물,"lost article, lost item",4125,
매진,"sold out, sellout",2605,
보여주다,"to show, display",2108,
훈련,"training, practice",3320,
이태원,Itaewon,2264,
미끄럽다,to be slippery,2292,
시험지,test paper,2824,
똑같이,"equally, evenly",2129,
예상하다,"to forecast, anticipate, expect",2174,
식혜,sweet rice drink,2191,
테이프,tape,2258,
붉다,"to be red, crimson",2131,
눈앞,"in front of one's eyes, just ahead",1278,
주택,"house, housing",2091,
캄캄하다,"to be dark, pitch-black",4126,
대학원생,graduate student,2178,
순서,"order, sequence, procedure",2033,
시다,to be sour,1782,
이하,"below, less than",2153,
음,"sound, tone;yin",3401,
빠져나가다,"to escape, slip away",2573,
구체적,"concrete, definite, specific",1827,
파도,waves,2149,
깨우다,to wake someone up,2519,
색연필,colored pencil,4635,
교장,"principal, headmaster",2690,
팔리다,"to be sold, be in demand",2256,
신혼부부,newly wed couple,3021,
예외,exception,2284,
지나치다,"to pass by, go past;to go too far, be too much",2689,
어차피,"anyway, in any case",2031,
스케줄,schedule,2412,
바람나다,to have a secret love affair,4152,
통신,"communication, correspondence",2069,
센터,center,2290,
외출하다,to go out,2298,
역사적,historical,2176,
부족,"tribe;shortage, lack",2257,
옥상,rooftop,2780,
아깝다,"to be precious, valuable;to be regrettable, pitiful",2319,
의지,"will, volition",2498,
무조건,unconditional,2293,
쫓다,"to chase, pursue",3124,
기적,miracle;steam whistle,3202,
콧물,"snot, nasal mucus",2023,
감동받다,to be impressed,2266,
동료,"colleague, co-worker",2193,
아이디어,idea,2673,
솔직하다,"to be frank, honest, candid",2252,
게다가,"besides, on top of that",2072,
목도리,scarf,2277,
파,green onion,2244,
힘세다,"to be strong, powerful",3963,
붕대,"bandage, dressing",2273,
리모콘,remote control,3339,
어색하다,"to feel awkward, be at a loss for words",2341,
촬영,"shooting, filming",2183,
오죽,"very, indeed, how",5051,
보고하다,"to report, inform",2922,
달리,differently,2297,
예금,"deposit, savings",2207,
어느새,"in no time, quickly",2110,
먹이다,"to feed, let someone eat",1876,
빵집,bakery,1701,
창고,"warehouse, storage",3268,
고동색,reddish brown,2370,
등록하다,"to register, enroll",3714,
멍청이,stupid person,2339,
손톱,fingernail,2205,
단순하다,to be simple,2232,
살짝,"slightly, gently;in secret, by stealth",2044,
가스,gas,1988,
발걸음,"step, pace",2869,
만족하다,"to be satisfied, pleased",2542,
영수증,receipt,2323,
인물,"person, individual, character",2360,
관찰하다,"to observe, watch",2222,
책방,bookstore,1883,
대전,Daejeon;great war;state ceremony,2217,
재벌,"conglomerate, plutocrat",2326,
감소하다,"to decrease, decline",4225,
변기,toilet,4009,
다만,"only, merely",2521,
수다떨다,to chitchat,3443,
비둘기,pigeon,3661,
여왕,queen,3700,
황금,gold,3299,
저금하다,"to save money, make a deposit",4244,
액션,action,2324,
삼계탕,chicken soup with ginseng,2596,
죄,"crime, sin, blame",2499,
자유롭다,to be free,2184,
대학로,"Daehangno, college street",2495,
선착순으로,by order of arrival,4762,
명성,"reputation, fame",3720,
고정시키다,"to fix, fasten, immobilize",3768,
주사,"injection, shot",2211,
답장,"response, answer (written)",2260,
지은이,"writer, author",4044,
임신하다,to be pregnant,2489,
곤충,"insect, bug",4692,
심리학,psychology,2334,
까닭,"reason, cause, grounds (for)",2198,
따라다니다,"to follow (somebody around), to chase",2386,
개미,ant,2333,
기념일,anniversary,4348,
압력,pressure,3028,
나빠지다,to grow worse,2246,
자녀,children,2814,
아프리카,Africa,2361,
철,"iron, steel;season;discretion, [good] sense",1997,
대기하다,"to stand by, be waiting",4065,
최종,"last, final",3064,
독립,independence,3092,
미끄럼,"slide, sliding",3342,
이어지다,"to be connected, be continued",2609,
전경,panorama;the front view,4113,
구석,corner,2288,
호기심,curiosity,3243,
다가가다,"to approach, go near",2045,
교재,teaching materials,3873,
미용,beauty treatment,4937,
좀처럼,rarely,3197,
시합하다,"to play against, have a game",2300,
작품,piece of artwork,1993,
유감,regret,5085,
급행열차,express train,2432,
한가하다,"to be free, have leisure, have time to spare",3175,
오해,misunderstanding,2302,
티켓,ticket,3598,
상세,"details, particulars",5099,
치우다,"to tidy up, clean up, remove",2331,
웨딩드레스,wedding dress,3322,
마감,deadline,3986,
보험,insurance,2392,
때리다,"to beat, hit, attack",2150,
건너,across,2790,
실외,outdoors,4404,
기후,climate,2403,
이발하다,to get a haircut (for men),4381,
식,"form, style;ceremony",1719,
무대,stage,2203,
관악산,Mt. Gwanak,3354,
소중하다,"to be valuable, important, precious",2376,
가사,"lyrics;housework, chores",2349,
집안일,"housework, housekeeping;household affair",1868,
약혼,engagement (before marriage),3892,
언짢다,"to be upset, displeased",4718,
결말,"ending, finish, conclusion",3791,
아리랑,"traditional Korean song ""Arirang""",2965,
구좌,(bank) account,5086,
보장하다,to guarantee,2379,
홍콩,Hong Kong,2424,
민속촌,Folk village,2418,
어휘,vocabulary,2265,
희한하다,"to be strange, odd, unusual, rare",4398,
만년필,fountain pen,3093,
그네,swings,3013,
합계,"sum, total",2832,
감다,"to wind, roll;to wash;to close one's eyes",2236,
광주,Gwangju,4049,
횡단보도,crosswalk,2622,
환대,"hospitality, [warm] welcome",2988,
여전하다,"to be unchanged, be as usual",4455,
빗물,rainwater,2383,
